                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  20.00  1.127  4.43E+09 1.60E+09 3.06E+10 2.46E+07 2.57E+07 7.35E+07 7.23E+07 1.10E+08 1.05E+08 1.30E+08 1.17E+08 1.33E+08 1.12E+08 1.20E+08 9.48E+07 9.60E+07 7.47E+07 6.98E+07 5.42E+07 4.80E+07 3.48E+07 2.94E+07 2.09E+07 1.63E+07 1.13E+07 8.09E+06 5.00E+06 3.33E+06 1.75E+06 1.05E+06 4.38E+05 2.16E+05 7.44E+04
  22.50  1.196  1.58E+10 4.54E+09 8.87E+10 6.84E+07 7.12E+07 2.05E+08 2.01E+08 3.06E+08 2.92E+08 3.63E+08 3.28E+08 3.72E+08 3.15E+08 3.39E+08 2.68E+08 2.72E+08 2.14E+08 2.01E+08 1.57E+08 1.39E+08 1.02E+08 8.77E+07 6.35E+07 5.12E+07 3.67E+07 2.82E+07 1.87E+07 1.39E+07 8.31E+06 5.82E+06 2.97E+06 1.80E+06 8.04E+05
  25.00  1.260  4.84E+10 1.31E+10 2.57E+11 1.96E+08 2.03E+08 5.87E+08 5.76E+08 8.73E+08 8.33E+08 1.04E+09 9.36E+08 1.06E+09 9.02E+08 9.70E+08 7.71E+08 7.82E+08 6.17E+08 5.77E+08 4.52E+08 4.03E+08 2.97E+08 2.55E+08 1.86E+08 1.50E+08 1.09E+08 8.50E+07 5.77E+07 4.47E+07 2.83E+07 2.14E+07 1.23E+07 8.48E+06 4.50E+06
  30.00  1.381  6.19E+11 1.14E+11 2.25E+12 1.69E+09 1.75E+09 5.06E+09 4.98E+09 7.58E+09 7.26E+09 9.01E+09 8.17E+09 9.28E+09 7.92E+09 8.50E+09 6.77E+09 6.88E+09 5.46E+09 5.07E+09 4.00E+09 3.54E+09 2.62E+09 2.24E+09 1.64E+09 1.32E+09 9.61E+08 7.47E+08 5.13E+08 3.97E+08 2.57E+08 1.99E+08 1.21E+08 9.05E+07 5.48E+07
  40.00  1.594  8.62E+13 8.55E+12 1.75E+14 1.17E+11 1.20E+11 3.50E+11 3.44E+11 5.30E+11 5.08E+11 6.38E+11 5.89E+11 6.74E+11 5.81E+11 6.35E+11 5.15E+11 5.29E+11 4.28E+11 4.04E+11 3.26E+11 2.92E+11 2.22E+11 1.91E+11 1.44E+11 1.16E+11 8.62E+10 6.64E+10 4.65E+10 3.55E+10 2.33E+10 1.76E+10 1.08E+10 7.91E+09 4.80E+09
  50.00  1.782  4.17E+15 4.08E+14 8.76E+15 5.07E+12 5.19E+12 1.52E+13 1.50E+13 2.32E+13 2.24E+13 2.85E+13 2.65E+13 3.06E+13 2.68E+13 2.96E+13 2.45E+13 2.54E+13 2.11E+13 2.02E+13 1.67E+13 1.52E+13 1.19E+13 1.05E+13 8.14E+12 6.72E+12 5.15E+12 4.11E+12 2.98E+12 2.35E+12 1.61E+12 1.25E+12 8.02E+11 6.00E+11 3.80E+11
  60.00  1.952  2.22E+17 2.18E+16 4.94E+17 2.24E+14 2.29E+14 6.70E+14 6.63E+14 1.09E+15 1.05E+15 1.45E+15 1.39E+15 1.56E+15 1.35E+15 1.56E+15 1.32E+15 1.34E+15 1.20E+15 1.09E+15 9.62E+14 8.62E+14 7.17E+14 6.37E+14 5.26E+14 4.29E+14 3.39E+14 2.89E+14 2.07E+14 1.68E+14 1.20E+14 9.98E+13 6.69E+13 4.97E+13 3.30E+13
  70.00  2.109  6.76E+18 6.54E+17 1.52E+19 6.33E+15 6.46E+15 1.90E+16 1.88E+16 3.08E+16 3.00E+16 4.14E+16 3.96E+16 4.48E+16 3.93E+16 4.55E+16 3.90E+16 4.00E+16 3.59E+16 3.32E+16 2.96E+16 2.69E+16 2.28E+16 2.04E+16 1.72E+16 1.43E+16 1.15E+16 9.98E+15 7.34E+15 6.06E+15 4.44E+15 3.79E+15 2.61E+15 1.99E+15 1.37E+15
  80.00  2.255  1.67E+20 1.60E+19 3.82E+20 1.47E+17 1.50E+17 4.40E+17 4.35E+17 7.16E+17 6.97E+17 9.62E+17 9.25E+17 1.05E+18 9.32E+17 1.09E+18 9.35E+17 9.69E+17 8.77E+17 8.22E+17 7.35E+17 6.77E+17 5.79E+17 5.27E+17 4.48E+17 3.79E+17 3.09E+17 2.72E+17 2.04E+17 1.71E+17 1.28E+17 1.10E+17 7.84E+16 6.10E+16 4.33E+16
  90.00  2.391  3.47E+21 3.30E+20 8.06E+21 2.91E+18 2.96E+18 8.68E+18 8.61E+18 1.41E+19 1.38E+19 1.90E+19 1.84E+19 2.10E+19 1.87E+19 2.18E+19 1.90E+19 1.98E+19 1.80E+19 1.71E+19 1.54E+19 1.43E+19 1.23E+19 1.13E+19 9.72E+18 8.35E+18 6.88E+18 6.12E+18 4.67E+18 3.98E+18 3.04E+18 2.63E+18 1.91E+18 1.52E+18 1.09E+18
 100.00  2.521  6.26E+22 5.91E+21 1.47E+23 4.97E+19 5.07E+19 1.49E+20 1.48E+20 2.43E+20 2.38E+20 3.29E+20 3.17E+20 3.66E+20 3.26E+20 3.82E+20 3.34E+20 3.50E+20 3.20E+20 3.06E+20 2.76E+20 2.60E+20 2.26E+20 2.10E+20 1.81E+20 1.57E+20 1.31E+20 1.18E+20 9.08E+19 7.85E+19 6.06E+19 5.34E+19 3.92E+19 3.15E+19 2.32E+19
 110.00  2.644  9.99E+23 9.37E+22 2.36E+24 7.61E+20 7.71E+20 2.27E+21 2.25E+21 3.72E+21 3.63E+21 5.02E+21 4.87E+21 5.61E+21 5.04E+21 5.91E+21 5.19E+21 5.49E+21 5.02E+21 4.85E+21 4.41E+21 4.18E+21 3.64E+21 3.41E+21 2.96E+21 2.60E+21 2.18E+21 1.98E+21 1.54E+21 1.35E+21 1.05E+21 9.35E+20 6.98E+20 5.70E+20 4.25E+20
 120.00  2.761  1.44E+25 1.34E+24 3.41E+25 1.05E+22 1.06E+22 3.14E+22 3.10E+22 5.11E+22 5.02E+22 6.92E+22 6.70E+22 7.78E+22 7.02E+22 8.24E+22 7.28E+22 7.73E+22 7.10E+22 6.89E+22 6.28E+22 6.01E+22 5.27E+22 4.97E+22 4.34E+22 3.85E+22 3.25E+22 2.97E+22 2.34E+22 2.07E+22 1.63E+22 1.46E+22 1.10E+22 9.08E+21 6.84E+21
 130.00  2.874  1.87E+26 1.73E+25 4.47E+26 1.31E+23 1.33E+23 3.94E+23 3.90E+23 6.42E+23 6.30E+23 8.71E+23 8.45E+23 9.84E+23 8.91E+23 1.05E+24 9.30E+23 9.90E+23 9.14E+23 8.90E+23 8.16E+23 7.83E+23 6.91E+23 6.55E+23 5.75E+23 5.13E+23 4.37E+23 4.01E+23 3.19E+23 2.84E+23 2.26E+23 2.04E+23 1.55E+23 1.29E+23 9.87E+22
 140.00  2.982  2.25E+27 2.06E+26 5.38E+27 1.52E+24 1.54E+24 4.55E+24 4.52E+24 7.45E+24 7.30E+24 1.01E+25 9.81E+24 1.15E+25 1.04E+25 1.23E+25 1.09E+25 1.17E+25 1.08E+25 1.06E+25 9.72E+24 9.38E+24 8.31E+24 7.92E+24 6.99E+24 6.29E+24 5.37E+24 4.97E+24 3.99E+24 3.57E+24 2.86E+24 2.59E+24 2.00E+24 1.68E+24 1.29E+24
