                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  13.00  0.930  5.54E+07 3.49E+07 4.45E+08 1.14E+06 2.17E+06 3.00E+06 3.56E+06 3.83E+06 3.83E+06 3.60E+06 3.20E+06 2.72E+06 2.20E+06 1.71E+06 1.27E+06 9.08E+05 6.24E+05 4.13E+05 2.63E+05 1.61E+05 9.54E+04 5.44E+04 2.99E+04 1.59E+04 8.14E+03 4.03E+03 1.92E+03 8.86E+02 3.95E+02 1.70E+02 7.05E+01 2.83E+01 1.10E+01
  14.00  0.965  1.42E+08 8.68E+07 1.13E+09 2.74E+06 5.22E+06 7.22E+06 8.61E+06 9.32E+06 9.37E+06 8.88E+06 7.98E+06 6.84E+06 5.61E+06 4.41E+06 3.33E+06 2.42E+06 1.69E+06 1.14E+06 7.39E+05 4.63E+05 2.80E+05 1.63E+05 9.21E+04 5.02E+04 2.64E+04 1.34E+04 6.60E+03 3.14E+03 1.44E+03 6.41E+02 2.76E+02 1.15E+02 4.61E+01
  15.00  0.999  3.51E+08 2.09E+08 2.77E+09 6.35E+06 1.21E+07 1.68E+07 2.02E+07 2.19E+07 2.22E+07 2.12E+07 1.92E+07 1.66E+07 1.38E+07 1.09E+07 8.37E+06 6.16E+06 4.37E+06 2.99E+06 1.98E+06 1.26E+06 7.78E+05 4.63E+05 2.67E+05 1.49E+05 8.02E+04 4.18E+04 2.11E+04 1.03E+04 4.88E+03 2.23E+03 9.91E+02 4.25E+02 1.77E+02
  16.00  1.032  8.38E+08 4.87E+08 6.57E+09 1.43E+07 2.74E+07 3.82E+07 4.58E+07 5.01E+07 5.10E+07 4.90E+07 4.47E+07 3.90E+07 3.26E+07 2.62E+07 2.03E+07 1.51E+07 1.09E+07 7.55E+06 5.07E+06 3.29E+06 2.06E+06 1.25E+06 7.36E+05 4.19E+05 2.31E+05 1.23E+05 6.36E+04 3.18E+04 1.54E+04 7.26E+03 3.31E+03 1.46E+03 6.26E+02
  17.00  1.063  1.94E+09 1.10E+09 1.51E+10 3.15E+07 6.04E+07 8.43E+07 1.02E+08 1.11E+08 1.14E+08 1.10E+08 1.01E+08 8.90E+07 7.51E+07 6.09E+07 4.76E+07 3.59E+07 2.61E+07 1.84E+07 1.25E+07 8.24E+06 5.25E+06 3.24E+06 1.94E+06 1.12E+06 6.31E+05 3.44E+05 1.81E+05 9.29E+04 4.61E+04 2.22E+04 1.04E+04 4.70E+03 2.07E+03
  18.00  1.094  4.38E+09 2.44E+09 3.40E+10 6.78E+07 1.30E+08 1.82E+08 2.20E+08 2.42E+08 2.49E+08 2.41E+08 2.23E+08 1.98E+08 1.68E+08 1.38E+08 1.09E+08 8.27E+07 6.09E+07 4.34E+07 2.99E+07 1.99E+07 1.29E+07 8.09E+06 4.91E+06 2.90E+06 1.66E+06 9.18E+05 4.94E+05 2.58E+05 1.31E+05 6.44E+04 3.08E+04 1.43E+04 6.44E+03
  19.00  1.124  9.66E+09 5.28E+09 7.46E+10 1.43E+08 2.74E+08 3.84E+08 4.65E+08 5.14E+08 5.30E+08 5.17E+08 4.81E+08 4.29E+08 3.67E+08 3.03E+08 2.41E+08 1.85E+08 1.38E+08 9.93E+07 6.93E+07 4.68E+07 3.07E+07 1.95E+07 1.20E+07 7.20E+06 4.18E+06 2.36E+06 1.29E+06 6.88E+05 3.55E+05 1.78E+05 8.71E+04 4.13E+04 1.90E+04
  20.00  1.153  2.08E+10 1.12E+10 1.60E+11 2.95E+08 5.66E+08 7.94E+08 9.64E+08 1.07E+09 1.11E+09 1.09E+09 1.02E+09 9.10E+08 7.85E+08 6.52E+08 5.23E+08 4.06E+08 3.05E+08 2.22E+08 1.56E+08 1.07E+08 7.08E+07 4.56E+07 2.85E+07 1.73E+07 1.02E+07 5.85E+06 3.26E+06 1.76E+06 9.27E+05 4.74E+05 2.36E+05 1.14E+05 5.36E+04
  22.50  1.223  1.89E+11 6.72E+10 9.94E+11 1.67E+09 3.22E+09 4.54E+09 5.54E+09 6.18E+09 6.46E+09 6.39E+09 6.05E+09 5.49E+09 4.80E+09 4.06E+09 3.31E+09 2.62E+09 2.01E+09 1.49E+09 1.08E+09 7.54E+08 5.14E+08 3.40E+08 2.19E+08 1.37E+08 8.36E+07 4.96E+07 2.86E+07 1.61E+07 8.79E+06 4.68E+06 2.43E+06 1.23E+06 6.03E+05
  25.00  1.290  1.10E+12 3.66E+11 5.57E+12 8.65E+09 1.67E+10 2.36E+10 2.89E+10 3.25E+10 3.42E+10 3.41E+10 3.26E+10 2.99E+10 2.65E+10 2.27E+10 1.88E+10 1.51E+10 1.18E+10 8.90E+09 6.55E+09 4.69E+09 3.27E+09 2.22E+09 1.46E+09 9.41E+08 5.89E+08 3.60E+08 2.14E+08 1.24E+08 7.00E+07 3.86E+07 2.07E+07 1.08E+07 5.54E+06
