##
## Parameters for 188Os
##
## Level density
##
sgr              73 182   0.373 E2
egr              73 182  11.117 E2
ggr              73 182   3.926 E2
sgradjust        73 182   1.000 E2
egradjust        73 182   1.000 E2
ggradjust        73 182   1.000 E2
upbendc          73 182 0.00000E+00 M2
sgr              73 182   0.002 M2
egr              73 182   7.561 M2
ggr              73 182   4.000 M2
sgradjust        73 182   1.000 M2
egradjust        73 182   1.000 M2
ggradjust        73 182   1.000 M2
##--------------------------------------------
##
## Parameters for 181Ta
##
## Level density
##
a                73 181  23.43392
aadjust          73 181   1.00000
gammald          73 181   0.07656
pair             73 181   0.89195
Pshift           73 181   0.00000   0
Pshiftadjust     73 181   0.00000   0
deltaW           73 181   1.43084   0
Ntop             73 181  20   0
Nlow             73 181   8   0
s2adjust         73 181   1.00000   0
ctable           73 181   0.30336   0
ptable           73 181   0.63885   0
ctableadjust     73 181   0.00000   0
ptableadjust     73 181   0.00000   0
D0               73 181 1.20000E-03
g                73 181  12.06667
gp               73 181   4.86667
gn               73 181   7.20000
gnadjust         73 181   1.00000
gpadjust         73 181   1.00000
gadjust          73 181   1.00000
##
## Gamma-ray
##
gamgam           73 181   0.05100
gamgamadjust     73 181   1.00000
sgr              73 181 259.000 E1
egr              73 181  12.300 E1
ggr              73 181   2.430 E1
sgradjust        73 181   1.000 E1
egradjust        73 181   1.000 E1
ggradjust        73 181   1.000 E1
upbendc          73 181 3.50000E-08 M1
sgr              73 181 341.000 E1 2
egr              73 181  15.230 E1 2
ggr              73 181   4.480 E1 2
sgradjust        73 181   1.000 E1 2
egradjust        73 181   1.000 E1 2
ggradjust        73 181   1.000 E1 2
sgr              73 181   2.283 M1
egr              73 181   7.568 M1
ggr              73 181   4.000 M1
sgradjust        73 181   1.000 M1
egradjust        73 181   1.000 M1
ggradjust        73 181   1.000 M1
sgr              73 181   0.373 E2
egr              73 181  11.137 E2
ggr              73 181   3.938 E2
sgradjust        73 181   1.000 E2
egradjust        73 181   1.000 E2
ggradjust        73 181   1.000 E2
upbendc          73 181 0.00000E+00 M2
sgr              73 181   0.002 M2
egr              73 181   7.568 M2
ggr              73 181   4.000 M2
sgradjust        73 181   1.000 M2
egradjust        73 181   1.000 M2
ggradjust        73 181   1.000 M2
##--------------------------------------------
##
## Parameters for 181Hf
##
## Level density
##
a                72 181  23.57469
aadjust          72 181   1.00000
gammald          72 181   0.07656
pair             72 181   0.89195
Pshift           72 181   0.00000   0
Pshiftadjust     72 181   0.00000   0
deltaW           72 181   1.44022   0
Ntop             72 181  15   0
Nlow             72 181   8   0
s2adjust         72 181   1.00000   0
ctable           72 181   0.39761   0
ptable           72 181   0.37951   0
ctableadjust     72 181   0.00000   0
ptableadjust     72 181   0.00000   0
D0               72 181 9.40000E-02
g                72 181  12.06667
gp               72 181   4.80000
gn               72 181   7.26667
gnadjust         72 181   1.00000
gpadjust         72 181   1.00000
gadjust          72 181   1.00000
##
## Gamma-ray
##
